original,augmented,method
the plot meanders from gripping to plodding and back .,the meanders of the plot of griping to plodding and back.,back_translation
they should have found orson welles ' great-grandson .,They should have found Orson Welles' great-grandson.,back_translation
summer 's far too fleeting to squander on offal like this .,Summer's way too fleeting to waste offal like that.,back_translation
"in both the writing and cutting , it does not achieve the kind of dramatic unity that transports you .","In writing and cutting, he does not realize the kind of dramatic unit that transports you.",back_translation
"the cast has a high time , but de broca has little enthusiasm for such antique pulp .","the casting has a high time, but broca has little enthusiasm for this ancient dough.",back_translation
"ultimate x is a ride , basically the kind of greatest-hits reel that might come with a subscription to espn the magazine .","ultimate x is a trick, basically the kind of extra-hit reel that could come with a subscription for espn magazine.",back_translation
"it 's a gag that 's worn a bit thin over the years , though do n't ask still finds a few chuckles .","It's a gag that has worn a little thin over the years, but don't ask yet find some cancs.",back_translation
"in some ways , lagaan is quintessential bollywood .","In a way, lagaan is the quintessence of Bollywood.",back_translation
anemic chronicle of money grubbing new yorkers and their serial loveless hook ups .,chronic anemic silver rubbing new yorks and their serial loveless connect ups.,back_translation
`` sum '' is jack ryan 's `` do-over . '',``sum '' is Jack ryan 's ``do-over. ' '',back_translation
but death to smoochy keeps firing until the bitter end .,But smoke death continues to shoot to the bitter end.,back_translation
than ` magnifique ' .,"of the phrase "" magnificent "" .",back_translation
"davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine .","David interprets it is looking enough, but she needs to shake the mixture, and work in something that doesn't feel like a half-cooked stand-up routine.",back_translation
